h,Timestamp,ID,Tinggal di PPR semenjak,"Bagi responden yang tinggal di PPR kurang daripada 12 bulan, sila nyatakan tempoh dalam bulan:",Air,Elektrik,Telefon,"Jumlah tanggungan bil telefon, sila nyatakan:",Internet (unifi/maxis/lain-lain),Anggaran perbelanjaan perubatan sekeluarga sebulan,Anggaran perbelanjaan makanan asas sekeluarga sebulan,Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Susu],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Lampin],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Tambang bas],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Yuran sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Duit makan sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Alat menulis],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Buku termasuk buku latihan],Adakah anda mempunyai kanak-kanak bawah umur 12 yang belum terima vaksinasi?,Adakah anda menghadapi masalah tikus di rumah ataupun di tingkat rumah anda?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana kencing tikus?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana denggi?,Adakah masalah tikus di persekitaran PPR sudah mencapai tahap yang serius?,"Jikalau ada apa-apa masalah serangga atau haiwan perosak selain dari nyamuk dan tikus, sila nyatakan:",Sumber air bersih atau tidak?,Apakah cadangan mencegah membaling sampah kebawah dari atas?,Adakah rumah anda pernah dipecah masuk?,Pernahkah ahli keluarga menjadi mangsa jenayah di Kota Damansara,"Jikalau ada, nyatakan jenis jenayah:",Adakah terdapat aktiviti yang berkaitan dengan dadah di kawasan PPR?,Adakah isi rumah umur 17 ke bawah yang meninggal dunia?,"Jika ada, sila nyatakan sebab:","Sekiranya ada berlaku kematian oleh salah seorang dari ahli keluarga anda yang berumur 17 kebawah, sila nyatakan lokasi:",Tarikh survey ini di isikan oleh enumerator atau responden
24,22/08/2016 16:50,9655e606fad46add2c57320af3404bde98600943680f1b824202caa1db0bbffd,12,,< 20,< 50,,,,,< 700,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Tidak,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,16/02/2016
25,19/04/2016 18:23,5d0310b5c5c010b558612c243a5f2b939de28da67c0e3314ebfada3ac238cb5a,8,,< 20,< 75,,,,,< 800,< 100,150 ke atas,,,,,,,Tidak,Tidak,Tidak,Ya,lipas/cicak,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
26,01/09/2016 12:53,53ac1eb483b811540502ed1609794d6c136f73b6717f1fafce0dc6c43fb967b3,16,,< 80,< 100,,,0,< 150,< 600,0,0,0,0,0,0,0,Tidak,Ya,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Ya,Lain-lain,Tempat lain,17/02/2016
27,19/04/2016 0:41,9e5ec84bf7cff75bc002c4e303e4d25868870fa24cf60825f6da24b288a332c1,13,,< 20,< 100,,,0,0,< 700,,,,,< 100,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
28,18/04/2016 23:12,c4f5afb9bec47f332926ea522f2f96bbd03b6b1a77226607b7afdb46819c3d1b,9,,< 40,< 75,,,0,< 50,800 ke atas,,,,,< 125,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,24/02/2016
29,13/09/2016 16:03,d326d09451c582e91900280334c2f30228218d0c26b80246dcd03f4b9b8c6b02,2006,,< 20,< 50,,,0,< 100,< 600,0,0,0,150 ke atas,150 ke atas,< 100,< 100,Tidak,Ya,Tidak,Ya,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,03/03/2016
30,01/09/2016 11:13,23fc4f61b061a86cc3f4fb364b80f60e50408b19722c809574909138ad5488fe,8,,,,,,0,< 150,< 700,,,,,,,,Ya,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,,,,17/02/2016
31,22/08/2016 14:30,ed3d306579a9c7d07fad3de006fb2adf8adea8b5a90db0580541170c48e6f9ee,13,,< 40,< 100,,,0,< 100,800 ke atas,150 ke atas,< 150,< 150,150 ke atas,< 100,< 100,< 100,Ya,Tidak,Tidak,Ya,Ya,,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Ya,Ya,Ragut,Ya,Tidak,,,17/02/2016
32,18/04/2016 23:05,9c56f3a5aabbae1c575aa7daecf02b00d0d4b460032d943bacc8842f2c45b355,10,,< 20,< 50,,,0,0,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
33,22/08/2016 11:51,a8503edd040ef4340514ce919325877cd9403e4352aaa1782cdccd12ab3abcd3,10,,< 20,< 50,,,0,< 50,< 500,,,,,,,,Tidak,Tidak,Tidak,Tidak,Tidak,,Ya,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,17/02/2016
34,13/09/2016 15:40,5b3eda6ea1547aee88ec0d4337de7fd1b9427c10998b84a9a208c6bf6548194e,2002,,< 40,< 75,,,0,< 100,< 600,0,0,< 100,< 100,< 150,< 100,< 100,Tidak,Ya,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,04/03/2016
35,22/08/2016 12:40,e969906563bfe45d0c020d627b467f9d87d173553f4e0d5fdb1c6145d8059795,4,,< 20,125 ke atas,,,0,0,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Ya,Ya,lipas dan kucing,Tidak,Memasang cctv,Tidak,Tidak,,Ya,,,,15/02/2016
36,26/04/2016 10:53,682e6136a53759e3495d9bffebb4e4665449cb184b030be46e4f4207a20f69df,11,,0,,,,,,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
37,13/09/2016 16:45,d57b98bfd0670015dbbdbc634fa05b8842ad987cc5a04590219fa5b6e0f277f8,,9,< 40,< 75,,,0,< 50,< 500,0,0,< 100,< 150,150 ke atas,< 150,150 ke atas,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Mengenakan denda,Ya,Tidak,,Ya,Tidak,,,26/06/2016
38,26/04/2016 10:03,c388d6a63a0cc5aca1307b72aa8278c36461e32e4737f480bd50ccb31d9ae258,10,,< 20,< 50,,,,,< 500,,,,,< 150,,< 150,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
39,26/04/2016 12:28,c559994c9c7835aac28baa83fec247fbe67b017a370324cf8fd3e0909ac4c7d7,7,,< 20,< 50,,,,< 150,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Ya,Tidak,Rompak,Ya,Tidak,,,17/02/2016
40,26/04/2016 10:38,9502dee8466cf56e53cf7742e94318210dfdf8961e0e8cc05d9a97314cab5038,9,,< 20,< 50,,,,< 50,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
41,22/08/2016 12:08,1ae668ef4390757b2d8b8d1309ee7511a6dfa0fca51c99c28c2b446a5f2f3802,0,3,< 60,< 50,,,0,< 50,< 500,< 100,< 125,< 100,< 100,150 ke atas,150 ke atas,150 ke atas,Tidak,Tidak,Tidak,Ya,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,16/02/2016
42,22/08/2016 12:50,9cb672b396e298377227c86068386b3b95c27a497ff87bb8b6f7547d6f154259,13,,< 20,< 75,,,0,< 100,< 800,,,,,,,,,Tidak,Tidak,Tidak,Ya,kucing,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
43,01/09/2016 13:10,5084fd5e6f57e6749fc693a2e6668a3ff21cac29dc05ec2b22e6245d9b7fe179,1,,< 20,< 75,,,0,rm300 ke atas,< 500,0,0,0,< 100,150 ke atas,0,< 100,Ya,Tidak,Tidak,Ya,Ya,"lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
44,22/08/2016 11:13,f37603ad4fcb7687350d39f41494992917795053ca87307885ea8c65b99a76f4,10,,< 40,tiada sumber letrik,,,0,< 50,< 500,0,0,0,< 100,< 100,< 100,< 100,Tidak,Tidak,Tidak,Ya,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
45,29/04/2016 0:38,bcbf1c23fbe8405c3d443230cb849e38dc281a4274d7671c38ae0e66284ba67d,6,,< 20,< 50,,,0,0,< 500,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,27/02/2016
46,19/04/2016 18:19,4c08c1e1c06fb5bafc50fe7e40f558fcdec000b1f837c9319e3068d157573eb0,12,,< 20,< 50,,,,,< 700,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
47,29/04/2016 0:15,faa092add5b9222c603a469a9f7fc6fccc168d530a287a4f1c58f6afb155c39e,0,5,< 20,< 50,,,0,< 50,< 500,0,0,0,0,0,0,0,,Tidak,,Tidak,Ya,,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
48,19/04/2016 0:23,14c62342aaebccde2d8050b663f70d42bc8a0696258557d4abd7c0d128e095c7,1,,,,,,0,< 150,< 500,,,,,150 ke atas,,,,Tidak,Tidak,Tidak,Ya,lipas/semut,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Ya,Tidak,,Ya,Tidak,,,
49,18/04/2016 23:01,d9d3781a24e110072f2b97dcf242bd3e1e122fbc0100a709d8713da3c80d7ea4,8,,< 20,< 50,,,0,< 50,< 700,,,,,150 ke atas,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,24/02/2016
50,18/04/2016 23:15,4f76b298582aaf59df002b7e36ac13156221781bf98b68c49327bd162f27cc3d,1,,< 20,< 75,,,0,0,< 500,150 ke atas,,,< 100,,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,,,,Ya,Tidak,,,24/02/2016
51,01/09/2016 12:04,270e9874bcea6d6c3781b3c2940f7b964cf8049d90facd9ad081fe03288c12f4,8,,< 20,< 50,,,0,< 50,< 500,< 100,0,< 100,0,< 100,0,< 100,Tidak,Tidak,Tidak,Tidak,Ya,"lipas, kucing",Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
52,19/04/2016 17:34,b6629783783c44f83b64c0206ad8b5883ccec63f1bbeb8a07318e2a364f4b48e,10,,,,,,,,< 500,,,,,,,,,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
53,01/09/2016 13:32,e0d060168ffead75d055a9fda542cdb861a30c9d3e51c42b1ae5afa9bfb1d83d,15,,< 40,< 125,,,0,200 ke atas,< 800,< 100,< 100,< 100,< 100,0,,< 100,Ya,Tidak,Tidak,Ya,Ya,kucing,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
54,31/03/2016 15:51,ee50613d23a9a9b992d7f5f75fa6389d169404bf97e48f120114f1765a4d9a06,15,,< 20,< 100,,,0,< 50,< 800,,,,< 100,150 ke atas,< 125,< 100,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Mengenakan denda,Tidak,Tidak,tiada,Ya,Tidak,Lain-lain,,03/03/2016
55,22/08/2016 15:45,9814323c9a79067ac2cef4e0c3b3313db8fb715a89e272c6b402d11080908a55,2,,< 20,< 50,,,0,< 50,< 600,,,150 ke atas,,150 ke atas,< 100,,,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
56,28/04/2016 23:41,b62b0f475d2fcf35f0a5b35bd017ab55926ab19f944a87d06a884c4435ef605e,1,,< 20,< 50,,,0,< 150,< 600,150 ke atas,150 ke atas,< 100,< 100,,< 100,,Tidak,Tidak,Tidak,Tidak,Ya,"lipas, cicak",Tidak,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,20/02/2016
57,22/08/2016 15:18,cfa3043bd58112801f223e1efdc3f5e699251f8eef9f3896df8ab6f9048d9a6b,11,,< 40,< 75,,,0,200 ke atas,< 600,,,150 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,,,,16/02/2016
58,01/09/2016 13:02,61cfd41b1b3f87900c4de1b711b9d23172c9e84b22bf6187c6735de6cfc92024,9,,< 60,125 ke atas,,,0,0,< 500,0,0,0,< 100,< 125,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
59,29/04/2016 0:06,7847681d8839ac5f9efd9d5ddae427c75f0d941d1fd6a743b22570a611e12191,13,,80 ke atas,125 ke atas,,,0,0,< 500,0,0,0,0,0,0,0,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
60,13/09/2016 15:37,5ab7094e3fe83854dc9721a94e18a20d1cddde5304a22aee3d3fd90f06f330db,2007,,< 40,< 75,,,0,< 50,< 700,0,0,0,< 100,< 100,< 100,< 100,Tidak,Ya,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Tidak,Ya,Ragut,Ya,Tidak,,,04/03/2016
61,01/09/2016 11:34,d28ac29c7811c14417a340b4d0f8adc1e52a3a1d511839bdaf968203ae930cd0,10,,< 40,< 100,,,0,200 ke atas,< 500,150 ke atas,150 ke atas,150 ke atas,,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Ya,Tidak,,Tidak,Tidak,Kesihatan,,15/02/2016
62,18/04/2016 22:53,1fe15bcbc6fca7cdc00dbc56b13d973c669e85210c2e6699935925733865e76d,4,,< 20,< 75,,,< 100,< 100,< 600,,,< 100,,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
63,28/04/2016 23:38,49c58e181bbc726a36da2e245e6ebba5e93430c9924e68a9fe59880223723689,10,,80 ke atas,< 50,,,0,0,< 500,0,0,< 100,< 100,< 150,< 100,< 100,Tidak,Tidak,Tidak,Ya,Tidak,lipas,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,18/02/2016
64,22/08/2016 16:58,0e4cac9ff4ac94cb47345c8aa4ba566bc5fed90530a1b4a7685a7f54e27bacbb,15,,80 ke atas,< 50,,,,0,< 500,,,,,,,,,Ya,Tidak,Tidak,Ya,,,Memasang cctv,Tidak,Tidak,,Ya,,,Kawasan PPR,17/06/2016
65,01/09/2016 11:19,6ba88adf919cb99b0c29b7e121698a03b3bd3c436fe265412849670c5cac9c1f,7,,< 40,< 50,,,0,< 50,800 ke atas,,,< 100,150 ke atas,< 125,< 100,< 100,Ya,Tidak,Tidak,Ya,Ya,"lipas, lalat, nyamuk",Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
66,26/04/2016 10:51,691adc16dd2e8ae6f9c1ad9c1cde495d93781adbf835dd6d9af6e1dc6a79f21c,11,,,,,,0,< 150,< 700,,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
67,22/08/2016 14:06,550a3621767dce5f5593c235b902881318ac3f53f5ce1351140a0633ffcbc58f,4,,< 40,< 75,,,0,< 150,< 500,0,0,< 125,150 ke atas,< 100,0,0,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,15/02/2016
68,26/04/2016 11:03,e113e7c1cc6ff4bde816e9a87844a443619d25441d94cb7b4974b242b1dbee3a,14,,< 20,< 50,,,,< 50,< 800,< 100,< 100,,,< 150,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,,,,15/02/2016
69,22/08/2016 15:08,cbe0fda96bd438efd86d2989de6eac568f0ba4b4cb0c6e21264ebbd6daeec1f4,3,,< 40,< 75,,,0,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Ya,,Hospital,15/02/2016
70,22/08/2016 14:51,166574b68b2cc33a50e4acc87c835f3e04e8cb7d41126242acbbd34489e3f250,13,,< 40,< 50,,,0,,< 600,< 100,< 100,< 100,< 100,150 ke atas,0,0,Tidak,Tidak,Tidak,Tidak,Ya,semut dan lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
71,13/09/2016 16:49,5b4fb62d1c5167190d952e47b221a51a50d50d5fbba6a48a3c538f45ccc9cdcf,2014,,< 20,< 75,,,0,< 150,< 500,0,0,< 100,< 100,< 100,< 100,< 125,Tidak,Tidak,Tidak,Tidak,Ya,"lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,09/06/2016
72,26/04/2016 10:25,b89ad7233968d353ab00a31c15b7aacd573e5f4ef357fb9ebed81a76fd7339c8,13,,< 40,< 50,,,,< 100,800 ke atas,,,< 100,,< 150,,,Tidak,Ya,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
73,01/09/2016 12:22,eb6ccc52e4e9ad3bafb4c38def6689fbfbef531e82651ec13539aac8611a5daa,14,,< 40,< 75,,,,< 50,< 700,0,0,0,,0,< 100,150 ke atas,Ya,Tidak,Tidak,Tidak,Ya,"lipas, kucing",Tidak,Memasang cctv,Tidak,Ya,mencuri kereta,Ya,Tidak,,,16/02/2016
74,22/08/2016 16:18,8b426c6a12e597919dfd6a49d76cf04b074a77000171ccfe80a5a6655d9a565b,2,,< 20,< 50,,,,,800 ke atas,,,,< 100,< 100,,,,Tidak,Tidak,Tidak,Tidak,"lipas, lalat dan nyamuk",Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,,,,,16/02/2016
75,26/04/2016 13:16,74728f27bcc4b803dec2c99acde65d121708de2a224b61e9ec885daf693c0a67,11,,< 40,< 50,,,,,< 600,,,,,,,,,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
76,22/08/2016 13:19,e9209570b106c4197d90dd67514bd57c0fd277810b34cd806e8ed6fbcf18c19c,5,,< 20,tiada letrik,,,0,0,< 500,,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,kucing dan lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
77,19/04/2016 17:30,618b1e9f01d8a3349dc201843555760b31d5a6ff8d4cbd2f970efe3b6848be60,14,,< 20,< 100,,,,,< 500,150 ke atas,< 100,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
78,26/04/2016 10:06,ee21d59e3089894abeec9f4bb21ab1c135301e0229f3ffd3a7735f3e7293fe7a,6,,< 20,< 50,,,,,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
79,19/04/2016 0:00,b6dac6a86e82364aa5ea398a3c4e82cb0afa40987d84d5323f1df24e143c9c41,1,,< 20,< 50,,,0,0,< 500,< 100,< 100,< 100,,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
80,26/04/2016 11:10,5901c2c16e58a280d0592bab0559faf32e5ad05ce6dfbf1a86db03fa5b052844,12,,< 40,< 75,,,,< 50,< 500,,,,,< 100,,,,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,,,,15/02/2016
81,13/09/2016 15:14,ac20455034a9dd34fe30c4f83503102692eb6aa15ece02d04ea0bcec86bd0aa2,2003,,< 40,< 75,,,0,< 150,< 600,0,0,0,0,0,0,0,Tidak,Ya,Tidak,Tidak,Ya,lipas,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,04/03/2016
82,29/04/2016 0:31,29ee130c131726775cf42c8c7426573b2fe9fe7c7a8342ae149868868ebf4b82,13,,< 20,< 50,,,0,< 100,,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,28/02/2016
83,13/09/2016 14:55,3f8b3c3dc86f6df042cdbd646fe7ffe589d91f7a7b5628b8ffc74395e90c6aa7,5,,< 20,< 50,,,0,< 50,< 700,0,0,0,< 150,150 ke atas,< 150,150 ke atas,Tidak,Tidak,Tidak,Ya,Ya,"lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,02/06/2016
84,18/04/2016 23:48,92a878c5dd99eaef36c4fc740387dad335796fa6876b3c3bda4e331906c7942e,13,,< 20,< 75,,,0,0,< 700,,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
85,26/04/2016 10:55,dcd46f08880655a0febe80d2980fc1a10b32c2d9f83c4c98fd87a3c1f7aeecc4,7,,< 40,< 50,,,,< 50,< 700,150 ke atas,< 100,< 100,,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
86,26/04/2016 12:47,833d675d44f4752b9895b025df2c8e707bf60c9054e4f7e4e2a5a26a1a911a4d,8,,< 20,< 50,,,< 100,200 ke atas,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
87,29/04/2016 0:21,b79e204c470cdcb467de32137999908ac0c3d71077daa60b607201d952a2390d,1,,< 20,< 75,,,0,0,< 800,150 ke atas,150 ke atas,0,0,0,< 100,150 ke atas,Ya,Tidak,Tidak,Tidak,Ya,semut,Tidak,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,18/02/2016
88,13/09/2016 16:00,b1871a2f8a9ccecff5e2111b372b2c840daf742aa73444bfbd92d9edd36fd2db,2003,,< 20,< 75,,,0,< 50,< 500,0,0,0,< 100,< 100,< 100,< 150,Tidak,Tidak,Tidak,Tidak,Ya,"lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,03/03/2016
89,18/04/2016 23:54,879eff325cbaba621e794244de1167d97c097df95db4a1192feeb95d28a5bca4,11,,< 40,< 75,,,0,0,< 700,< 100,< 100,,,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
90,19/04/2016 18:26,9be5a574a627aae8cf47bfa860b5c8263405cda32c6b25cfeb0007f3f0f39cae,11,,< 20,< 50,,,,,< 600,150 ke atas,< 100,,,,,,,Ya,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
91,29/04/2016 0:24,5b3420409bb595f2193b1896c73d48581627181e4d20444f93a9694d3c9b6407,4,,< 20,< 50,,,0,0,< 500,0,0,0,0,0,0,0,Tidak,Ya,Tidak,Tidak,Ya,tiada,Ya,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
92,26/04/2016 10:01,7d22cc0516d53899b2e464b41664443141a310d306eb29c7fa51fbb4ede798bb,13,,< 40,< 75,,,,,< 500,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Ya,Ya,lipas/semut,Tidak,Memasang cctv,Tidak,Ya,,Ya,Tidak,,,18/02/2016
93,26/04/2016 13:02,7eb0e515103d394032bc15a247011d464205dbca40bcefc4c7e8123f1e32e740,7,,< 20,< 50,,,,200 ke atas,< 500,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,,Ya,Rompak,Ya,,,,17/02/2016
94,22/08/2016 14:55,3564bfd7f974a43d58c858d6a3e51e6e86564f789628a5c364c690ab8b7ecfe0,13,,< 40,125 ke atas,,,,,800 ke atas,,,,< 100,< 100,< 100,< 100,Tidak tahu,Ya,Tidak,Tidak,Tidak,,Ya,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
95,22/08/2016 12:18,8d4854ec83c15d175845ca8a16a16de89d49e5d556e43c24a8244e314b69d791,6,,< 20,< 50,,,0,< 50,< 500,0,< 100,0,0,0,0,0,Ya,Tidak,Tidak,Ya,Tidak,lipas,Tidak,Memasang cctv,Tidak,,,Ya,Tidak,,,19/02/2016
96,18/04/2016 22:57,0a45044f830c6b6a204ea760b50b5c1163bda8f78f6a49c573d5825bf0cbf1e3,12,,< 20,< 125,,,,< 50,< 800,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,semut dan lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
97,22/08/2016 13:28,e9916ff35f46355fc2544bd19ba24a0f29ce5557734aba4ce1640cd7ad90d8e1,1,,< 40,< 50,,,0,< 100,< 500,0,0,0,150 ke atas,150 ke atas,< 100,< 100,Tidak,Tidak,Tidak,Tidak,Ya,lipas dan kucing,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
98,22/08/2016 14:11,4155c15cc962c6167b88fdd3212e0651037f2621bb5e789a061fef4882fcd182,8,,80 ke atas,< 125,,,0,< 50,< 500,< 125,< 100,,< 100,150 ke atas,,< 150,Ya,Tidak,Tidak,Tidak,Ya,lipas dan kucing,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
99,19/04/2016 0:38,9dbdd0daf3cceae135add0da6c8ea26c410db9b87264b3911e89ca6dea34862a,2,,< 40,< 50,,,,,< 500,,,< 100,,150 ke atas,,,,Tidak,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,02/03/2016
